scenario_id,disease,disease_label,split,metric,contrast,difference
AF-001,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-001,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-001,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-001,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-002,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-002,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-002,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-002,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-003,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-003,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-003,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-003,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,2.0
AF-004,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C1,0.0
AF-004,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C3,0.0
AF-004,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C1,3.0
AF-004,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C3,0.0
AF-005,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-005,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-005,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,0.0
AF-005,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-006,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-006,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-006,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-006,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-007,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-007,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-007,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-007,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-008,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-008,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-008,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
